condition,rep,well,final_mape,convergence_iter,improvement_rate,dead_end_rate,n_iterations,baseline_mape,r2_insample,r2_outsample
claude,rep1,30-025-50360,0.5003,1,0.0,0.7272727272727273,11,0.5003,0.9235,
claude,rep1,30-025-50362,0.1273,1,0.0,0.8,10,0.1273,0.9596,
claude,rep1,30-025-50363,0.5519,1,0.0,0.7777777777777778,9,0.5519,0.9584,
claude,rep1,30-025-50364,0.5757,1,0.0,0.7777777777777778,9,0.5757,,
claude,rep1,30-025-50366,1.3617,7,0.026700000000000005,0.7272727272727273,11,1.6554,0.9595,
claude,rep1,SYN-01,0.0373,4,0.00884,0.7,10,0.1257,0.9471,
claude,rep1,SYN-02,0.0715,1,0.0,0.8333333333333334,12,0.0715,0.9575,
claude,rep1,SYN-03,0.2493,1,0.0,0.8333333333333334,12,0.2493,0.6005,
claude,rep1,SYN-04,0.4243,12,9.285714285714055e-05,0.7142857142857143,14,0.4256,0.9538,
claude,rep1,SYN-05,0.0449,6,0.005790909090909091,0.7272727272727273,11,0.1086,0.9871,
claude,rep1,SYN-06,0.1363,1,0.0,0.9090909090909091,11,0.1363,0.9562,
claude,rep1,SYN-07,0.325,7,0.0026454545454545468,0.8181818181818182,11,0.3541,0.9054,
claude,rep1,SYN-08,0.0528,4,5.833333333333327e-05,0.8333333333333334,12,0.0535,0.7373,
claude,rep1,SYN-09,0.1609,6,0.01084,0.7333333333333333,15,0.3235,0.9626,
claude,rep1,SYN-10,0.0648,1,0.0,0.7,10,0.0648,0.9382,
claude,rep1,SYN-11,0.3507,1,0.0,0.0,1,0.3507,0.9536,
claude,rep1,SYN-12,0.2121,1,0.0,0.0,1,0.2121,0.3352,
claude,rep1,SYN-13,0.3917,1,0.0,0.0,1,0.3917,0.9526,
claude,rep1,SYN-14,0.2791,1,0.0,0.0,1,0.2791,0.9743,
claude,rep1,SYN-15,0.1381,1,0.0,0.0,1,0.1381,0.1352,
claude,rep1,SYN-16,2.6866,1,0.0,0.0,1,2.6866,0.8679,
claude,rep1,SYN-17,2.7612,1,0.0,0.0,1,2.7612,0.9643,
claude,rep1,SYN-18,0.2588,1,0.0,0.0,1,0.2588,0.8202,
claude,rep1,SYN-19,0.8801,1,0.0,0.0,1,0.8801,0.8806,
claude,rep1,SYN-20,0.2808,1,0.0,0.0,1,0.2808,0.9196,
random,rep1,30-025-50360,0.5003,1,0.0,0.8181818181818182,11,0.5003,0.9235,
random,rep1,30-025-50362,0.1273,1,0.0,0.8181818181818182,11,0.1273,0.9596,
random,rep1,30-025-50363,0.5519,1,0.0,0.9090909090909091,11,0.5519,0.9584,
random,rep1,30-025-50364,0.5757,1,0.0,0.9090909090909091,11,0.5757,0.9897,
random,rep1,30-025-50366,1.3617,2,0.018356250000000005,0.8125,16,1.6554,0.9592,
random,rep1,SYN-01,0.0373,3,0.0036833333333333336,0.75,24,0.1257,0.9793,
random,rep1,SYN-02,0.0715,1,0.0,0.9090909090909091,11,0.0715,0.9575,
random,rep1,SYN-03,0.2493,1,0.0,0.7272727272727273,11,0.2493,0.5769,
random,rep1,SYN-04,0.4256,1,0.0,0.9090909090909091,11,0.4256,0.9531,
random,rep1,SYN-05,0.1086,1,0.0,0.9090909090909091,11,0.1086,0.9181,
random,rep1,SYN-06,0.1363,1,0.0,0.9090909090909091,11,0.1363,0.9562,
random,rep1,SYN-07,0.3541,1,0.0,0.9090909090909091,11,0.3541,0.9627,
random,rep1,SYN-08,0.0528,3,3.043478260869562e-05,0.6956521739130435,23,0.0535,0.7373,
random,rep1,SYN-09,0.2512,2,0.006025000000000003,0.8333333333333334,12,0.3235,0.9204,
random,rep1,SYN-10,0.0648,1,0.0,0.9090909090909091,11,0.0648,0.9382,
random,rep1,SYN-11,0.3507,1,0.0,0.9090909090909091,11,0.3507,0.9536,
random,rep1,SYN-12,0.2091,5,0.00014285714285714298,0.7142857142857143,21,0.2121,0.7675,
random,rep1,SYN-13,0.3917,1,0.0,0.8181818181818182,11,0.3917,0.9526,
random,rep1,SYN-14,0.2791,1,0.0,0.9090909090909091,11,0.2791,0.9743,
random,rep1,SYN-15,0.0947,2,0.003616666666666666,0.75,12,0.1381,0.2415,
random,rep1,SYN-16,2.0668,2,0.036458823529411745,0.8823529411764706,17,2.6866,0.9101,
random,rep1,SYN-17,2.7612,1,0.0,0.9090909090909091,11,2.7612,0.9437,
random,rep1,SYN-18,0.2588,1,0.0,0.8181818181818182,11,0.2588,0.8201,
random,rep1,SYN-19,0.8801,1,0.0,0.9090909090909091,11,0.8801,0.8806,
random,rep1,SYN-20,0.2808,1,0.0,0.9090909090909091,11,0.2808,0.9196,
