date,oil_bbl,gas_mcf,water_bbl
1993-11,3935.0,98.0,0.0
1993-12,2385.0,146.0,0.0
1994-01,1338.0,208.0,0.0
1994-02,930.0,264.0,0.0
1994-03,668.0,606.0,0.0
1994-04,470.0,268.0,0.0
1994-05,428.0,192.0,0.0
1994-06,456.0,120.0,0.0
1994-07,575.0,253.0,0.0
1994-08,574.0,326.0,0.0
1994-09,547.0,236.0,0.0
1994-10,532.0,111.0,0.0
1994-11,518.0,83.0,0.0
1994-12,482.0,57.0,0.0
1995-01,470.0,53.0,0.0
1995-02,325.0,0.0,0.0
1995-03,353.0,0.0,0.0
1995-04,295.0,0.0,0.0
1995-05,500.0,3.0,0.0
1995-06,524.0,78.0,0.0
1995-07,553.0,4.0,0.0
1995-08,471.0,3.0,0.0
1995-09,430.0,0.0,0.0
1995-10,548.0,0.0,0.0
1995-11,531.0,0.0,0.0
1995-12,582.0,0.0,0.0
1996-01,615.0,0.0,0.0
1996-02,437.0,0.0,0.0
1996-03,673.0,0.0,0.0
1996-04,720.0,0.0,0.0
1996-05,618.0,0.0,0.0
1996-06,440.0,0.0,0.0
1996-07,673.0,0.0,0.0
1996-08,644.0,0.0,0.0
1996-09,611.0,0.0,0.0
1996-10,602.0,0.0,0.0
1996-11,588.0,0.0,0.0
1996-12,613.0,0.0,0.0
1997-01,544.0,0.0,0.0
1997-02,561.0,42.0,0.0
1997-03,362.0,62.0,0.0
1997-04,305.0,54.0,0.0
1997-05,307.0,59.0,0.0
1997-06,299.0,53.0,0.0
1997-07,450.0,35.0,0.0
1997-08,502.0,28.0,0.0
1997-09,490.0,25.0,0.0
1997-10,751.0,24.0,0.0
1997-11,188.0,23.0,0.0
1997-12,537.0,26.0,0.0
1998-01,471.0,25.0,0.0
1998-02,279.0,25.0,0.0
1998-03,342.0,26.0,0.0
1998-04,279.0,21.0,0.0
1998-05,281.0,20.0,0.0
1998-06,338.0,20.0,0.0
1998-07,291.0,21.0,0.0
1998-08,253.0,21.0,0.0
1998-09,208.0,15.0,0.0
1998-10,293.0,24.0,0.0
1998-11,207.0,22.0,0.0
1998-12,18.0,12.0,0.0
1999-01,43.0,18.0,0.0
1999-02,28.0,3.0,0.0
1999-03,39.0,20.0,0.0
1999-04,28.0,387.0,0.0
1999-05,563.0,432.0,0.0
1999-06,816.0,3260.0,0.0
1999-07,265.0,899.0,0.0
1999-08,1358.0,1231.0,0.0
1999-09,1051.0,1191.0,0.0
1999-10,1076.0,1160.0,0.0
1999-11,23.0,244.0,0.0
1999-12,0.0,0.0,0.0
2000-01,0.0,0.0,0.0
2000-02,0.0,0.0,0.0
2000-03,0.0,0.0,0.0
