date,oil_bbl,gas_mcf,water_bbl
2023-01,12365.0,20029.0,59691.0
2023-02,20001.0,29277.0,40751.0
2023-03,25315.0,33393.0,36992.0
2023-04,22859.0,26894.0,32136.0
2023-05,21627.0,31456.0,29270.0
2023-06,18297.0,28326.0,24253.0
2023-07,14968.0,23009.0,21107.0
2023-08,13328.0,22724.0,19948.0
2023-09,14481.0,26089.0,17635.0
2023-10,9763.0,16416.0,14762.0
2023-11,11958.0,23098.0,15479.0
2023-12,10482.0,19930.0,14375.0
2024-01,11808.0,26176.0,14280.0
2024-02,9788.0,22939.0,12413.0
2024-03,9792.0,25677.0,12746.0
2024-04,8324.0,21685.0,11495.0
2024-05,8451.0,25360.0,11922.0
2024-06,7363.0,21236.0,10523.0
2024-07,7028.0,20045.0,9947.0
2024-08,7046.0,22359.0,10220.0
2024-09,5567.0,16279.0,8275.0
2024-10,7305.0,27267.0,9732.0
2024-11,6159.0,22822.0,8265.0
2024-12,5874.0,22378.0,7860.0
2025-01,5349.0,24352.0,7404.0
2025-02,1353.0,5147.0,1839.0
2025-03,3332.0,20266.0,6808.0
2025-04,4603.0,20390.0,6766.0
2025-05,4474.0,21220.0,6365.0
2025-06,4099.0,19870.0,5805.0
2025-07,4019.0,21149.0,5783.0
2025-08,3573.0,18441.0,5262.0
2025-09,3390.0,15899.0,5380.0
2025-10,3358.0,15804.0,5066.0
2025-11,3369.0,15135.0,5071.0
2025-12,3562.0,23490.0,6039.0
