date,oil_bbl,gas_mcf,water_bbl
2020-01,7464.0,23580.5,11634.2
2020-02,9188.8,30081.9,13542.8
2020-03,7378.9,24540.4,9807.8
2020-04,5121.3,16636.2,7776.6
2020-05,4669.3,16905.1,8250.4
2020-06,3458.3,8576.9,4907.3
2020-07,3710.8,12197.8,7256.3
2020-08,3889.7,12180.4,5841.5
2020-09,3246.8,10458.3,5406.4
2020-10,2914.9,9999.0,4962.3
2020-11,0.0,0.0,0.0
2020-12,0.0,0.0,0.0
2021-01,2052.7,6668.3,6898.7
2021-02,2032.1,6652.7,5206.2
2021-03,2255.2,6939.7,3935.8
2021-04,2213.8,6631.8,3467.9
2021-05,2141.1,5991.9,3654.5
2021-06,2039.0,5366.7,3485.3
2021-07,1867.9,6605.0,3218.0
2021-08,2128.8,6404.3,3550.5
2021-09,1798.9,6101.7,3155.0
2021-10,1461.5,4282.3,2725.4
2021-11,1808.3,5185.6,2866.5
2021-12,1574.0,3991.6,3583.7
2022-01,749.5,2650.5,1479.4
2022-02,1429.6,4329.8,3219.8
2022-03,1314.0,4058.4,2453.1
2022-04,1025.2,4302.3,2536.6
2022-05,1036.1,3333.6,2362.3
2022-06,1174.5,3605.5,2356.7
2022-07,1068.8,3644.6,1886.3
2022-08,986.5,3289.5,2134.3
2022-09,1018.1,3277.7,1976.6
2022-10,934.9,2989.6,2129.4
2022-11,1026.2,3189.2,2027.4
2022-12,956.9,2799.6,1795.8
2023-01,937.4,2822.8,2044.0
2023-02,828.4,3326.0,2055.6
2023-03,482.0,1923.1,1272.5
2023-04,884.0,2629.7,1869.5
2023-05,866.3,2408.9,2156.1
2023-06,753.1,2409.4,1868.0
2023-07,815.7,2827.7,1617.5
2023-08,731.4,2442.5,1758.1
2023-09,725.3,2505.4,1696.6
2023-10,741.1,2200.7,1931.3
2023-11,863.0,2165.4,1772.3
2023-12,771.2,2268.9,1604.2
2024-01,650.0,2352.1,1673.0
2024-02,724.4,2543.9,1683.5
2024-03,694.7,1943.0,1460.2
2024-04,343.2,937.8,857.6
2024-05,664.2,1824.2,1482.9
2024-06,636.0,2180.2,1627.2
2024-07,319.8,1258.7,921.2
2024-08,573.9,1679.9,1493.9
2024-09,621.4,1850.8,1484.4
2024-10,618.0,1812.1,1616.2
2024-11,606.9,1913.8,1381.3
2024-12,591.3,1647.4,1327.0
2025-01,486.9,1513.5,1429.6
2025-02,550.4,1553.1,1407.2
2025-03,608.1,1995.1,1241.4
2025-04,440.0,1771.9,1399.3
2025-05,556.6,1674.0,1314.8
2025-06,634.5,1618.1,1409.5
2025-07,518.8,1528.5,1508.5
2025-08,520.6,1570.5,1275.4
2025-09,540.2,1588.9,1410.4
2025-10,492.6,1579.9,1501.3
2025-11,528.0,1543.9,1322.9
2025-12,400.8,1348.7,1175.2
