date,oil_bbl,gas_mcf,water_bbl
1993-04,2501.0,22.0,0.0
1993-05,2342.0,28.0,0.0
1993-06,1762.0,19.0,0.0
1993-07,1383.0,15.0,0.0
1993-08,1334.0,1467.0,0.0
1993-09,1043.0,1147.0,0.0
1993-10,1056.0,1162.0,0.0
1993-11,744.0,818.0,0.0
1993-12,1336.0,1470.0,0.0
1994-01,1452.0,1597.0,0.0
1994-02,1102.0,1212.0,0.0
1994-03,1024.0,1126.0,0.0
1994-04,667.0,734.0,0.0
1994-05,820.0,902.0,0.0
1994-06,1136.0,1250.0,0.0
1994-07,828.0,911.0,0.0
1994-08,886.0,975.0,0.0
1994-09,955.0,1050.0,0.0
1994-10,881.0,969.0,0.0
1994-11,857.0,943.0,0.0
1994-12,492.0,541.0,0.0
1995-01,622.0,684.0,0.0
1995-02,818.0,900.0,0.0
1995-03,961.0,1057.0,0.0
1995-04,905.0,996.0,0.0
1995-05,931.0,1062.0,0.0
1995-06,497.0,547.0,0.0
1995-07,982.0,1080.0,0.0
1995-08,870.0,957.0,0.0
1995-09,796.0,876.0,0.0
1995-10,803.0,883.0,0.0
1995-11,947.0,1042.0,0.0
1995-12,590.0,649.0,0.0
1996-01,738.0,812.0,0.0
1996-02,638.0,702.0,0.0
1996-03,736.0,810.0,0.0
1996-04,508.0,766.0,0.0
1996-05,524.0,576.0,0.0
1996-06,217.0,239.0,0.0
1996-07,721.0,793.0,0.0
1996-08,740.0,814.0,0.0
1996-09,718.0,790.0,0.0
1996-10,772.0,849.0,0.0
1996-11,701.0,771.0,0.0
1996-12,699.0,769.0,0.0
1997-01,706.0,776.0,0.0
1997-02,528.0,581.0,0.0
1997-03,683.0,751.0,0.0
1997-04,649.0,714.0,0.0
1997-05,675.0,743.0,0.0
1997-06,612.0,673.0,0.0
1997-07,634.0,697.0,0.0
1997-08,618.0,680.0,0.0
1997-09,568.0,625.0,0.0
1997-10,593.0,652.0,0.0
1997-11,585.0,644.0,0.0
1997-12,241.0,265.0,0.0
1998-01,466.0,513.0,0.0
1998-02,675.0,743.0,0.0
1998-03,435.0,479.0,0.0
1998-04,73.0,80.0,0.0
1998-05,766.0,843.0,0.0
1998-06,561.0,617.0,0.0
1998-07,526.0,579.0,0.0
1998-08,528.0,581.0,0.0
1998-09,492.0,541.0,0.0
1998-10,518.0,570.0,0.0
1998-11,484.0,532.0,0.0
1998-12,489.0,538.0,0.0
1999-01,491.0,540.0,0.0
1999-02,332.0,365.0,0.0
1999-03,534.0,587.0,0.0
1999-04,658.0,762.0,0.0
1999-05,601.0,661.0,0.0
1999-06,588.0,647.0,0.0
1999-07,567.0,624.0,0.0
1999-08,446.0,491.0,0.0
1999-09,585.0,643.0,0.0
1999-10,528.0,581.0,0.0
1999-11,425.0,468.0,0.0
1999-12,476.0,524.0,0.0
2000-01,411.0,452.0,0.0
2000-02,448.0,493.0,0.0
2000-03,464.0,510.0,0.0
2000-04,432.0,475.0,0.0
2000-05,421.0,463.0,0.0
2000-06,424.0,466.0,0.0
2000-07,421.0,463.0,0.0
2000-08,399.0,439.0,0.0
2000-09,392.0,431.0,0.0
2000-10,389.0,428.0,0.0
2000-11,382.0,420.0,0.0
2000-12,361.0,397.0,0.0
2001-01,352.0,387.0,0.0
2001-02,331.0,364.0,0.0
2001-03,378.0,416.0,0.0
2001-04,294.0,323.0,0.0
2001-05,357.0,393.0,0.0
2001-06,351.0,387.0,0.0
2001-07,344.0,378.0,0.0
2001-08,319.0,351.0,0.0
2001-09,312.0,343.0,0.0
2001-10,298.0,328.0,0.0
2001-11,287.0,316.0,0.0
2001-12,299.0,329.0,0.0
2002-01,290.0,319.0,0.0
2002-02,45.0,49.0,0.0
2002-03,0.0,0.0,0.0
2002-04,277.0,304.0,0.0
2002-05,332.0,365.0,0.0
2002-06,77.0,84.0,0.0
2002-07,0.0,0.0,0.0
2002-08,5.0,6.0,0.0
2002-09,310.0,0.0,0.0
2002-10,280.0,0.0,0.0
2002-11,10.0,0.0,0.0
2002-12,10.0,0.0,0.0
2003-01,8.0,0.0,0.0
2003-02,8.0,0.0,0.0
2003-03,0.0,0.0,0.0
2003-04,0.0,0.0,0.0
2003-05,0.0,0.0,0.0
2003-06,0.0,0.0,0.0
2003-07,0.0,0.0,0.0
2003-08,0.0,0.0,0.0
2003-09,0.0,0.0,0.0
2003-10,0.0,0.0,0.0
2003-11,0.0,0.0,0.0
2003-12,0.0,0.0,0.0
2004-01,0.0,0.0,0.0
2004-02,0.0,0.0,0.0
2004-03,0.0,0.0,0.0
2004-04,0.0,0.0,0.0
2004-05,0.0,0.0,0.0
2004-06,7.0,0.0,0.0
2004-07,0.0,0.0,0.0
2004-08,0.0,0.0,0.0
2004-09,25.0,0.0,0.0
2004-10,882.0,0.0,0.0
2004-11,535.0,0.0,0.0
2004-12,526.0,0.0,0.0
2005-01,537.0,0.0,0.0
2005-02,464.0,0.0,0.0
2005-03,493.0,0.0,0.0
2005-04,399.0,0.0,0.0
2005-05,432.0,0.0,0.0
2005-06,407.0,0.0,0.0
2005-07,344.0,0.0,0.0
2005-08,378.0,0.0,0.0
2005-09,358.0,0.0,0.0
2005-10,355.0,0.0,0.0
2005-11,331.0,0.0,0.0
2005-12,356.0,0.0,0.0
2006-01,322.0,0.0,0.0
2006-02,292.0,0.0,0.0
2006-03,307.0,0.0,0.0
2006-04,286.0,0.0,0.0
2006-05,303.0,0.0,0.0
2006-06,263.0,0.0,0.0
2006-07,258.0,0.0,0.0
2006-08,251.0,0.0,0.0
2006-09,271.0,0.0,0.0
2006-10,191.0,0.0,0.0
2006-11,248.0,0.0,0.0
2006-12,262.0,0.0,0.0
2007-01,266.0,0.0,0.0
2007-02,262.0,0.0,0.0
2007-03,261.0,0.0,0.0
2007-04,245.0,0.0,0.0
2007-05,272.0,0.0,0.0
2007-06,223.0,0.0,0.0
2007-07,241.0,0.0,0.0
2007-08,220.0,0.0,0.0
2007-09,219.0,0.0,0.0
2007-10,226.0,0.0,0.0
2007-11,231.0,0.0,0.0
2007-12,237.0,0.0,0.0
2008-01,223.0,0.0,0.0
2008-02,145.0,0.0,0.0
2008-03,229.0,0.0,0.0
2008-04,223.0,0.0,0.0
2008-05,224.0,0.0,0.0
2008-06,187.0,0.0,0.0
2008-07,234.0,0.0,0.0
2008-08,275.0,0.0,0.0
2008-09,312.0,0.0,0.0
2008-10,274.0,0.0,0.0
2008-11,337.0,0.0,0.0
2008-12,287.0,0.0,0.0
2009-01,146.0,0.0,0.0
2009-02,234.0,0.0,0.0
2009-03,182.0,0.0,0.0
2009-04,269.0,0.0,0.0
2009-05,71.0,0.0,0.0
2009-06,246.0,0.0,0.0
2009-07,192.0,0.0,0.0
2009-08,334.0,0.0,0.0
2009-09,284.0,0.0,0.0
2009-10,205.0,0.0,0.0
2009-11,372.0,0.0,0.0
2009-12,294.0,0.0,0.0
2010-01,255.0,0.0,0.0
2010-02,283.0,0.0,0.0
2010-03,54.0,0.0,0.0
2010-04,293.0,0.0,0.0
2010-05,346.0,0.0,0.0
2010-06,292.0,0.0,0.0
2010-07,170.0,0.0,0.0
2010-08,363.0,0.0,0.0
2010-09,276.0,0.0,0.0
2010-10,212.0,0.0,0.0
2010-11,167.0,0.0,0.0
2010-12,70.0,0.0,0.0
2011-01,46.0,0.0,0.0
2011-02,329.0,0.0,0.0
2011-03,270.0,0.0,0.0
2011-04,194.0,0.0,0.0
2011-05,179.0,0.0,0.0
2011-06,107.0,0.0,0.0
2011-07,0.0,0.0,0.0
2011-08,0.0,0.0,0.0
2011-09,322.0,0.0,0.0
2011-10,257.0,0.0,0.0
2011-11,242.0,0.0,0.0
2011-12,167.0,0.0,0.0
2012-01,0.0,0.0,0.0
2012-02,0.0,0.0,0.0
2012-03,0.0,0.0,0.0
2012-04,366.0,0.0,0.0
2012-05,342.0,0.0,0.0
2012-06,306.0,0.0,0.0
2012-07,204.0,0.0,0.0
2012-08,201.0,0.0,0.0
2012-09,40.0,0.0,0.0
2012-10,0.0,0.0,0.0
2012-11,0.0,0.0,0.0
2012-12,49.0,0.0,0.0
2013-01,82.0,0.0,0.0
2013-02,127.0,0.0,0.0
2013-03,363.0,0.0,0.0
2013-04,246.0,0.0,0.0
2013-05,370.0,0.0,0.0
2013-06,263.0,0.0,0.0
2013-07,213.0,0.0,0.0
2013-08,218.0,0.0,0.0
2013-09,191.0,0.0,0.0
2013-10,223.0,0.0,0.0
2013-11,247.0,0.0,0.0
2013-12,229.0,0.0,0.0
2014-01,193.0,0.0,0.0
2014-02,190.0,0.0,0.0
2014-03,152.0,0.0,0.0
2014-04,203.0,0.0,0.0
2014-05,252.0,0.0,0.0
2014-06,91.0,0.0,0.0
2014-07,287.0,0.0,0.0
2014-08,191.0,0.0,0.0
2014-09,195.0,0.0,0.0
2014-10,191.0,0.0,0.0
2014-11,187.0,0.0,0.0
2014-12,220.0,0.0,0.0
2015-01,239.0,0.0,0.0
2015-02,205.0,0.0,0.0
2015-03,239.0,0.0,0.0
2015-04,205.0,0.0,0.0
2015-05,203.0,0.0,0.0
2015-06,196.0,0.0,0.0
2015-07,199.0,0.0,0.0
2015-08,192.0,0.0,0.0
2015-09,187.0,0.0,0.0
2015-10,186.0,0.0,0.0
2015-11,166.0,0.0,0.0
2015-12,175.0,0.0,0.0
2016-01,159.0,0.0,0.0
2016-02,311.0,0.0,0.0
2016-03,3.0,0.0,0.0
2016-04,4.0,0.0,0.0
2016-05,194.0,0.0,0.0
2016-06,117.0,0.0,0.0
2016-07,94.0,0.0,0.0
2016-08,153.0,0.0,0.0
2016-09,117.0,0.0,0.0
2016-10,146.0,0.0,0.0
2016-11,4.0,0.0,0.0
2016-12,185.0,0.0,0.0
2017-01,123.0,0.0,0.0
2017-02,167.0,0.0,0.0
2017-03,165.0,0.0,0.0
2017-04,133.0,0.0,0.0
2017-05,164.0,0.0,0.0
2017-06,144.0,0.0,0.0
2017-07,167.0,0.0,0.0
2017-08,258.0,0.0,0.0
2017-09,71.0,0.0,0.0
2017-10,88.0,0.0,0.0
2017-11,183.0,0.0,0.0
2017-12,138.0,0.0,0.0
2018-01,150.0,0.0,0.0
2018-02,131.0,0.0,0.0
2018-03,168.0,0.0,0.0
2018-04,132.0,0.0,0.0
2018-05,156.0,0.0,0.0
2018-06,171.0,0.0,0.0
2018-07,139.0,0.0,0.0
2018-08,136.0,0.0,0.0
2018-09,144.0,0.0,0.0
2018-10,153.0,0.0,0.0
2018-11,155.0,0.0,0.0
2018-12,214.0,0.0,0.0
2019-01,154.0,0.0,0.0
2019-02,167.0,0.0,0.0
2019-03,178.0,0.0,0.0
2019-04,154.0,0.0,0.0
2019-05,110.0,0.0,0.0
2019-06,115.0,0.0,0.0
2019-07,159.0,0.0,0.0
2019-08,48.0,0.0,0.0
2019-09,181.0,0.0,0.0
2019-10,151.0,0.0,0.0
2019-11,137.0,0.0,0.0
2019-12,133.0,0.0,0.0
2020-01,127.0,0.0,0.0
2020-02,126.0,0.0,0.0
2020-03,132.0,0.0,0.0
2020-04,122.0,0.0,0.0
2020-05,124.0,0.0,0.0
2020-06,143.0,0.0,0.0
2020-07,158.0,0.0,0.0
2020-08,81.0,0.0,0.0
2020-09,9.0,0.0,0.0
2020-10,167.0,0.0,0.0
2020-11,178.0,0.0,0.0
2020-12,143.0,0.0,0.0
2021-01,142.0,0.0,0.0
2021-02,90.0,0.0,0.0
2021-03,131.0,0.0,0.0
2021-04,112.0,0.0,0.0
2021-05,115.0,0.0,0.0
2021-06,86.0,0.0,0.0
2021-07,127.0,0.0,0.0
2021-08,107.0,0.0,0.0
2021-09,101.0,0.0,0.0
2021-10,103.0,0.0,0.0
2021-11,102.0,0.0,0.0
2021-12,109.0,0.0,0.0
2022-01,117.0,0.0,0.0
2022-02,7.0,0.0,0.0
2022-03,60.0,0.0,0.0
2022-04,140.0,0.0,0.0
2022-05,133.0,0.0,0.0
2022-06,33.0,0.0,0.0
2022-07,15.0,0.0,0.0
2022-08,132.0,0.0,0.0
2022-09,142.0,0.0,0.0
2022-10,118.0,0.0,0.0
2022-11,141.0,0.0,0.0
2022-12,444.0,0.0,0.0
2023-01,39.0,0.0,0.0
2023-02,168.0,0.0,0.0
2023-03,240.0,0.0,0.0
2023-04,184.0,0.0,0.0
2023-05,148.0,0.0,0.0
2023-06,126.0,0.0,0.0
2023-07,205.0,0.0,0.0
2023-08,262.0,0.0,0.0
2023-09,73.0,0.0,0.0
2023-10,0.0,0.0,0.0
2023-11,266.0,0.0,0.0
2023-12,263.0,0.0,0.0
2024-01,162.0,0.0,0.0
2024-02,109.0,0.0,0.0
2024-03,225.0,0.0,0.0
2024-04,179.0,0.0,0.0
2024-05,240.0,0.0,0.0
2024-06,84.0,0.0,0.0
2024-07,124.0,0.0,0.0
2024-08,316.0,0.0,0.0
2024-09,248.0,0.0,0.0
2024-10,233.0,0.0,0.0
2024-11,195.0,0.0,0.0
2024-12,93.0,0.0,0.0
2025-01,75.0,0.0,0.0
2025-02,75.0,0.0,0.0
2025-03,232.0,0.0,0.0
2025-04,184.0,0.0,0.0
2025-05,181.0,0.0,0.0
2025-06,174.0,0.0,0.0
2025-07,175.0,0.0,0.0
2025-08,205.0,0.0,0.0
2025-09,210.0,0.0,0.0
2025-10,149.0,0.0,0.0
2025-11,110.0,0.0,0.0
2025-12,0.0,0.0,0.0
2026-01,0.0,0.0,0.0
2026-02,0.0,0.0,0.0
